Date,Open,Close,High,Low,Volume,Amount,Amplitude,Quote_change,Mount_change,Turnover_rate
2009-07-01,2256.84,2284.89,2286.82,2253.30,14836420,15101689290.00,1.48,0.75,17.10,0.00
2009-07-02,2293.21,2312.05,2315.73,2285.62,17661632,20204755381.00,1.32,1.19,27.16,0.00
2009-07-03,2294.23,2326.24,2330.10,2290.44,18094679,20470998299.00,1.72,0.61,14.19,0.00
2009-07-06,2330.81,2348.11,2355.20,2322.93,22200902,23502793996.00,1.39,0.94,21.87,0.00
2009-07-07,2344.42,2344.85,2364.87,2335.30,21689864,21021908748.00,1.26,-0.14,-3.26,0.00
2009-07-08,2328.57,2349.29,2354.86,2305.49,17714961,18058075342.00,2.11,0.19,4.44,0.00
2009-07-09,2353.91,2387.23,2387.70,2347.81,18593255,20219591135.00,1.70,1.61,37.94,0.00
2009-07-10,2388.39,2391.40,2409.48,2381.02,17704023,19030891201.00,1.19,0.17,4.17,0.00
2009-07-13,2391.22,2413.44,2439.73,2388.04,17852271,20914130629.00,2.16,0.92,22.04,0.00
2009-07-14,2420.07,2457.83,2457.97,2410.13,18953420,20883195960.00,1.98,1.84,44.39,0.00
2009-07-15,2469.38,2510.97,2516.31,2469.38,27145623,28139182667.00,1.91,2.16,53.14,0.00
2009-07-16,2522.68,2477.63,2529.21,2475.51,21540147,24304022615.00,2.14,-1.33,-33.34,0.00
2009-07-17,2478.88,2494.59,2501.12,2467.67,16891893,19737857743.00,1.35,0.68,16.96,0.00
2009-07-20,2508.80,2561.12,2562.22,2504.48,25914318,28569495925.00,2.31,2.67,66.53,0.00
2009-07-21,2575.40,2511.87,2579.68,2508.10,24187743,27198521573.00,2.79,-1.92,-49.25,0.00
2009-07-22,2514.88,2552.64,2553.42,2514.73,18038377,22198365952.00,1.54,1.62,40.77,0.00
2009-07-23,2555.41,2555.59,2558.04,2527.77,15154016,18280554747.00,1.19,0.12,2.95,0.00
2009-07-24,2569.62,2558.57,2584.79,2506.98,22853781,24887431772.00,3.04,0.12,2.98,0.00
2009-07-27,2573.74,2623.83,2623.83,2558.47,28214184,30220001185.00,2.55,2.55,65.26,0.00
2009-07-28,2618.38,2664.67,2671.75,2606.30,30417474,35018496332.00,2.49,1.56,40.84,0.00
2009-07-29,2660.10,2493.72,2660.10,2422.54,29158398,32491583778.00,8.92,-6.42,-170.95,0.00
2009-07-30,2510.77,2522.03,2545.42,2448.46,19557624,21438768067.00,3.89,1.14,28.31,0.00
2009-07-31,2545.70,2606.40,2613.16,2527.21,21955594,26353279036.00,3.41,3.35,84.37,0.00
2009-08-03,2621.95,2671.35,2673.61,2617.70,25426346,30528388851.00,2.15,2.49,64.95,0.00
2009-08-04,2677.10,2700.12,2700.90,2635.61,25472522,30225993035.00,2.44,1.08,28.77,0.00
2009-08-05,2703.54,2721.62,2765.02,2687.08,30707169,33872695766.00,2.89,0.80,21.50,0.00
2009-08-06,2702.24,2662.31,2715.69,2629.83,21916631,29431812443.00,3.15,-2.18,-59.31,0.00
2009-08-07,2660.49,2569.60,2682.53,2555.95,18384983,24746735345.00,4.75,-3.48,-92.71,0.00
2009-08-10,2596.21,2579.33,2613.54,2528.08,14417258,17716141311.00,3.33,0.38,9.73,0.00
2009-08-11,2589.46,2579.15,2595.63,2547.60,10729338,13317017444.00,1.86,-0.01,-0.18,0.00
2009-08-12,2571.90,2440.57,2571.90,2432.80,15510053,18528745762.00,5.39,-5.37,-138.58,0.00
2009-08-13,2441.15,2443.02,2459.61,2392.12,13344901,15724713280.00,2.77,0.10,2.45,0.00
2009-08-14,2448.50,2357.76,2448.78,2352.02,14822162,16823340387.00,3.96,-3.49,-85.26,0.00
2009-08-17,2324.56,2219.69,2330.40,2209.01,15094498,16274730215.00,5.15,-5.86,-138.07,0.00
2009-08-18,2203.37,2252.13,2263.14,2183.95,11480094,12464600790.00,3.57,1.46,32.44,0.00
2009-08-19,2252.03,2140.20,2255.16,2118.79,12556510,13726309095.00,6.06,-4.97,-111.93,0.00
2009-08-20,2145.14,2222.26,2225.97,2145.14,11657026,12974601759.00,3.78,3.83,82.06,0.00
2009-08-21,2217.14,2259.12,2259.75,2203.11,12882686,14051675747.00,2.55,1.66,36.86,0.00
2009-08-24,2264.88,2275.11,2282.32,2235.79,11961566,13690151555.00,2.06,0.71,15.99,0.00
2009-08-25,2263.37,2201.56,2263.37,2141.70,13882916,15456586716.00,5.35,-3.23,-73.55,0.00
2009-08-26,2189.03,2275.59,2296.73,2178.65,13736445,15753290713.00,5.36,3.36,74.03,0.00
2009-08-27,2264.40,2281.60,2308.75,2244.59,14498548,14764969824.00,2.82,0.26,6.01,0.00
2009-08-28,2274.52,2232.04,2285.29,2215.00,15302920,14883071672.00,3.08,-2.17,-49.56,0.00
2009-08-31,2197.81,2077.57,2197.81,2071.87,12830324,12934247725.00,5.64,-6.92,-154.47,0.00
2009-09-01,2061.09,2068.13,2109.85,2040.09,9706674,9458239195.00,3.36,-0.45,-9.44,0.00
2009-09-02,2060.05,2078.38,2093.52,2043.26,9014991,8317783779.00,2.43,0.50,10.25,0.00
2009-09-03,2078.23,2178.61,2184.07,2075.88,14037686,13677305135.00,5.21,4.82,100.23,0.00
2009-09-04,2176.55,2191.24,2197.79,2163.73,12738305,12789411494.00,1.56,0.58,12.63,0.00
2009-09-07,2204.57,2206.74,2239.40,2191.52,12310183,12974514082.00,2.19,0.71,15.50,0.00
2009-09-08,2198.08,2245.62,2245.95,2179.21,11721506,13848556286.00,3.02,1.76,38.88,0.00
2009-09-09,2248.82,2277.26,2278.05,2225.85,14283395,15789325177.00,2.32,1.41,31.64,0.00
2009-09-10,2271.82,2254.73,2286.59,2252.19,11432940,13009262167.00,1.51,-0.99,-22.53,0.00
2009-09-11,2248.83,2278.27,2291.45,2247.71,11415414,12523009367.00,1.94,1.04,23.54,0.00
