id,text,category,rating
20091,"利尔化学：利尔化学--新产能陆续投放业绩增长稳定
2009-07-23 类别：公司研究 机构：太平洋证券 研究员：姚鑫
[摘要]
投资要点半年报显示：09年上半年公司实现主营业务收入2.44亿元，同比增长20.84%；营业利润7110.3万元，同比增长58.15%；归属于上市公司股东净利润6470.4万元，同比增长58.13%；报告期内实现每股收益0.48元，总股本没有变化。中期分配预案：向全体股东每10股派发现金红利3.8元（含税），每10股转增5股，公司上半年利润增加源于三个方面：（1）产品退税较去年同期增长4%；（2）主要原材料采购价格有所降低；（3）公司销售费用和财务费用降低。公司目前现金充裕，今明两年可能不会有银行贷款，这表明公司财务费用将会延续一个较低水平。

公司目前拥有毕克草600吨/年、毒莠定1000吨/年、氟草烟150吨/年的产能，上半年毛利稳定，产销情况良好；下半年主要有500吨氟草烟（乐观估计四季度生产，贡献100吨产量，37%毛利）、3000吨毒死蜱（年底前投产，10年开始贡献收入和利润）、600吨丙环唑（年底前投产，10年开始贡献收入和利润）三个项目投产。氟草烟项目是下半年的主要业绩增长点。

公司主要看点：（1）毛利稳定。虽然未来主要品种价格有下降趋势，但是公司不断改进工艺及原材料价格的下降将会有效的保证主营产品的盈利空间；（2）项目密集投产。除09年项目外，10年将投产年产600吨草铵磷、150吨氟环唑项目，预计毛利水平都在30%以上；（3）期间费用低。近三年是公司产能扩张高速成长期，未来业绩较为稳定，属于较好的投资品种。

公司09年7月增资江油启明星氯碱化工有限责任公司，占有其41%股权，此次增资相对控股氯碱企业有助于保证公司获得稳定的液氯、盐酸等原料供应，延伸产业链。

我们预计2009-2010年公司每股收益分别为0.93元、1.30元、1.43元，对应市盈率为42倍、29倍、27倍。2009年给予公司35倍PE，合理价位在33元，首次“持有”评级。

风险提示：农药出口退税变动风险；新项目正常运行风险。

查看本报告全文PDF",0,0
20092,"宝钛股份：宝钛股份--企业扩大国内市场增收
2009-07-27 类别：公司研究 机构：齐鲁证券 研究员：李莉
[摘要]
报告起因：宝钛股份2009年中期报表,每股收益-0.07元。

投资要点：

公司上半年完成营业总收入11.72亿元,比上年同期上升0.08%,实现利润总额3790万元,同比下降85.58%,基本每股收益0.07元。

受全球经济危机的影响，钛产品价格比照去年同期下降40%多,但公司上半年主营业务收入同比略增,明显企业的生产和销售的产量有所增加。公司上半年实现钛产品销售量7627.13吨，其中钛材3186.97吨。但同时，由于企业生产成本的上升，毛利率大幅度缩减，但企业利润下降明显。

我们认为公司下半年随着全球经济的复苏，整体的盈利情况将得到改善，预测公司2009、2010年全年业绩为0.31、0.54元。暂时维持谨慎推荐的投资评级不变。企业在军工用钛材方面的技术优势将是企业未来的投资亮点。

公司盈利预测简表：

2008年2009年2010年主营业务收入(亿元)22.7224.9028.03增长率9.6%12.57%归属于母公司股东的净利润(亿元)3.011.332.32增长率-55.81%74.44%每股收益摊薄(元/股)0.70.310.54一、企业受经济危机影响中期报告仍然利润下降公司上半年完成营业总收入11.72亿元,比上年同期上升0.08%,实现利润总额3790万元,同比下降85.58%,基本每股收益0.07元。

表1：宝钛股份基本财务状况表本报告期末上年度期末本报告期末比上年度期末增减（％）总资产4,982,953,289.814,985,688,786.560.05归属于上市公司股东的所有者权益3,745,639,701.703,821,679,683.05-1.99归属于上市公司股东的每股净资产(元/股)8.718.881.91报告期（1－6月）上年同期本报告期比上年同期增减（％）营业总收入(元)1,172,250,427.961,171,328,466.980.08%营业利润(元)37,009,383.89261,341,236.26-85.84%利润总额(元)37,904,165.00262,910,055.56-85.58%净利润(元)32,316,132.08219,583,708.93-85.28%归属母公司股东的净利润(元)31,526,443.65212,938,885.81-85.19%每股收益-基本(元)0.070.5-86.00%每股净资产BPS(元)8.718.680.35%每股经营活动产生的现金流量净额(元)0.23-0.34-167.65%数据来源：公司定期报告受全球经济危机的影响，钛产品价格比照去年同期下降40%多,但公司上半年主营业务收入同比略增,明显企业的生产和销售的产量有所增加。公司上半年实现钛产品销售量7627.13吨，其中钛材3186.97吨。

但同时，由于企业生产成本的上升，毛利率大幅度缩减，但企业利润下降明显。

查看本报告全文PDF",0,0
20093,"燕京啤酒：高增长如何持续？
2009-07-31 类别：公司研究 机构：宏源证券 研究员：苏静然
[摘要]
2009年燕京啤酒交出一份靓丽的年报：主营业务收入、营业利润和净利润达到94.9亿元、9.28亿元和6.27亿元，分别同比增长15.08%、44.63%和36.03%。我们将年报业绩进行拆解，认为业绩增长主要原因有三：

（1）原材料价格下降和行业恢复性增长构成全行业性利好（2）恶性竞争格局被金融危机所改写，龙头企业生存环境得以改善（3）燕京日益稳健的战略思维，全国市场整合初见成效我们认为：啤酒行业技术门槛不高，资金投入较大和多年以来的过度竞争决定了其长期以来属于低利行业本质特征。龙头企业燕京近10年的扩张过程从财务指标分析绩效不高，从另一侧面印证了行业竞争的激烈性。但2008年金融危机造成行业洗牌，使得整个行业竞争结构好转，危机后成本下降直接导致公司业绩超预期增长。未来公司收益增长能否持续更大程度上取决于其区域和子公司整合能力。预计未来3-5年行业整体仍然会以6-8%速度低速增长；而行业环境持续改善和燕京区域市场整合能力提高将决定其随后的业绩增长。

预计燕京啤酒2010年、2011年每股收益为0.66元和0.74元，对应动态市盈率为31.3倍和27.9倍。

目前估值已经比较充分的反映了以上利好因素，暂时下调燕京评级至“持有”。

1.行业分析：低利行业扩张的常态：增收不增利、大小企业长期并存1.1竞争过度，行业供求平衡或供过于求是常态，长期微利啤酒业属规模化产业，企业建厂成本较高：产能10万千升的啤酒厂，投入高达2亿元。仅设备方面就须糖化、发酵、包装三大类14种必备生产设备。固定资产占投入80%以上，设备上马后建设周期长，此种行业资金投入为最大壁垒。但同时中国啤酒市场的巨大空间和高达40%的毛利率吸引了包括外资在内的大量投资者进入。地方政府出于税收考虑，扶持大量地方啤酒企业上马。行业长期处于过度竞争状态：

产品价格普遍较低，全国性龙头企业与地方企业同时并存。我国啤酒产量从1990年669万千升上升至4200多万千升，增长了6.27倍。在此过程中行业内公司也从不足200家，增长到超过500多家。产能超过100万千升的不足1%。此种行业结构决定了啤酒行业竞争异常激烈，自2001年以来，行业净利率长期低于7%，属于典型微利行业。

1.2金融危机带来行业洗牌，戴维斯双击推动行业内“剩存”企业业绩增长2008金融危机，对啤酒行业带来需求下降，和原材料价格大幅上涨的“戴维斯双杀”：据中国副食流通协会公布数据：2008年上半年啤酒销量同比下降10%，下半年实际负增长。2008年啤酒行业亏损面达到32%，为食品饮料行业之最，同时行业前四名市场份额扩大到60%。

金融危机之后，“戴维斯双击”效应显现：需求得以恢复性增长，全年行业总产量达到4236万千升，同比增长7%；另一方面啤酒大麦和酒花价格一路走低：啤酒大麦价格从最高520美元/吨回落至250美元/吨，最低达到216美元/吨；酒花价格也从最高10万元回落至5万元/吨。全行业1-12月，销售收入1143.2亿，同比增长10.4%，增速超过产销量；行业利润总额达到73.1亿，同比增长32%。

结论：我们认为，啤酒行业的整体格局在金融危机中得以改善；有利于龙头企业市场份额扩大，从而促进其后续业绩增长。

2、燕京研究：走过并购低谷，市场整合初见成效，2.1低成本战略成本不低扩张路径：1997年燕京上市之初，生产能力不足80万吨，但在主要市场北京地区市场占有率已超过90%；1997年主营业务收入11.72亿，净利润达到1.86亿元，净利润率和ROE分别为：15.8%和16.8%。公司选择了对外扩张。扩张方向一是兼并其它区域效益并不好的小厂，二是进入生物科技、风险投资、金融投资等其他领域，寻找新的利润增长点。仅1999年-2001年3年间，燕京就兼并收购包括江西、赣州、无名、包头、衡阳和襄樊等9家子公司，势头迅猛。到2009年底，去除破产清算子公司，旗下子公司总数达到21家。
查看本报告全文PDF",1,0
20094,"华菱钢铁：华菱钢铁（000932） 三季报业绩低于预期
2009-08-11 类别：公司研究 机构：国都证券 研究员：国都证券研究所
[摘要]
国都证券近期我们赴长沙与公司主要人员进行了交流。

核心观点华菱钢铁的基本面特征。（1）工业用钢企业。公司08年产量中40.5%是长材（20%是线材），其他为板、管材（主要用于工业），但公司生产的线材中工业用钢约占80%，建筑用钢仅占20%；（2）对中厚板、无缝管的依赖大。08年公司毛利构中，无缝管占21%、中厚板占49%、热卷占10%；（3）出口占比高。08年公司出口收入占比为21.94%，位居各上市钢企之首；（4）长协矿比例高。公司进口铁矿石占比60%左右，进口矿中长协矿占比约90%；进口铁矿石中澳洲矿约占60%；海运长单占比约40%-60%；（5）成长性良好。2011年底公司产能有望达到1800万吨，意味着未来三年公司产能年均增长近20%。

中短期将受益于板材价格上涨以及出口的恢复。我们在行业专题报告《向青草更青处漫溯》中曾详细阐述：预计下半年钢价仍然震荡上行（其中板材价格的涨幅将会超过长材）、出口将会逐步恢复，而且长协矿占比高的企业盈利弹性将会较大。华菱钢铁具有上述特征，因而将会受益显著。

中长期将受益于AM的技术、FMG的铁矿。公司是安塞乐米塔尔（简称AM）参股的首家中国钢企，AM目前仍有较强意愿进一步收购中国钢企（《凤凰周刊》7月曾报道，AM有意愿与南钢合作），我们判断其再次收购中国钢厂的前提是让华菱钢铁技术水平得到实质性的提升，并带来相应的经济效益，而今年年初集团成功“抄底”FMG则有助于公司保证矿石供应的稳定性以及合理控制库存。

盈利预测和投资建议。我们暂时给予公司2009、2010年EPS分别为0.12元、0.38元的盈利预测，按09年中期末净资产计算，公司PB为1.66倍，估值优势显著，维持公司“推荐A”的投资评级，建议投资者积极关注。

风险提示。（1）宏观经济及政策变动的风险；（2）钢价波动的风险；（3）公司主要依赖现货矿，矿价上涨侵蚀钢材利润的风险；（4）向集团及AM定向增发可能抑制短期股价表现。

近一年来股价走势基础数据（2008年3月31日）指标数值总股本（亿股）27.38流通股本（亿股）11.21流通市值（亿股）96每股净资产（元）5.22资产负债率（%）70.16数据来源：国都证券研究所独立性申明：本报告中的信息均来源于公开可获得资料，国都证券对这些信息的准确性和完整性不做任何保证。

分析逻辑基于作者的职业理解，通过合理判断并得出结论，力求客观、公正，结论不受任何第三方的授意、影响，特此声明。

第1页研究创造价值国都证券研究所联系人：周红军电话：010－84183380E-mail：zhouhongjun@guodu.com公司研究第2页研究创造价值附1：其他调研信息及我们的判断（1）公司螺纹钢5月份年化产量为191万吨，较08年峰值增加90万吨，其中13万吨的年化产量来自一条型材轧机的改造，其余部分来自周边钢厂（公司提供钢坯以及一部分加工费，委托周边的企业生产）。

（2）公司直供比例较高，战略客户较多，能够保量但不保价。宽厚板直供比例大概超过70%，主要用于造船、重工、桥梁等等；钢管（全部是无缝钢管）直供比例超过60%，主要用于大型油田；工业用长材直供比例40%左右；冷热轧产品直供比例大概30%-40%。

（3）08年出口钢材200万吨，其中钢管出口50万吨（占钢管产量的50%），钢管的出口地主要是中东地区。但09年上半年出口情况较差。

附2：其他相关信息据《华夏时报》5月下旬报道，目前华菱集团正加大省内外并购的步伐，力争在2011年将产能扩至3000万吨，以免遭被淘汰的厄运，而相关部门确实有意让华菱集团担当整合省内钢铁企业的大任，第一站便是整合冷水江钢铁集团。

此外华菱对江西的长力股份和福建三钢闽光有很强烈的重组意向。

查看本报告全文PDF",1,1
20095,"焦作万方：业绩大幅增长值得期待
2009-08-18 类别：公司研究 机构：大通证券 研究员：赵彦辉
[摘要]
事件：

公司公布09年报点评：

2009年实现营业收入51.03亿元，同比降15.22%；归属于母公司所有者净利润1.93亿元，同比降41.95%，基本每股收益0.40元。09年分配预案为每10股派发现金股利1.5元（含税）。

公司业绩同比下降的原因有两个：

一是毛利降低。09年的电解铝均价较08年下降18%左右，而氧化铝的价格虽然也有下降但下降幅度小于电解铝价格，造成了利润空间减小。

二是管理费用大幅增加。管理费用率由08年的1.47%变为09年的2.73%，费用增量影响每股收益0.1元，主要是因为08年焦作万方电力有限公司合只有12月份并表。

公司的未来看点有两个：

一来自于主营业务。电解铝价格将保持在高位震荡且有望缓步上扬，预计2010年相对2009年可高出17%左右，而公司电解铝产量稳定。自2008年8月收购焦作万方电力有限公司余下70%股权后，控制了2x125MW发电机组，保障了约30%的电力供应，还有30%的电力供应来自参股公司，使得公司的电力成本优于同业。而公司的氧化铝供应来自于中铝的长单供应，供应稳定盈利波动较小。

二来自于稳定的投资收益。2009年公司收购中国铝业转让的赵固能源30%股权，自2010年起计入公司投资收益，按照2010年、2011年煤产量400万吨、600万吨计算，可增厚公司每股收益0.37元、0.56元。目前，赵固能源按每吨煤50元的价格向焦煤集团缴纳采矿权使用费，公司计划2010年出资6亿元与焦煤集团共同完成对赵固能源的增资，以便焦煤集团持有的采矿权注入赵固能源，届时赵固能源的生产成本降低盈利能力进一步提升。

盈利预测与评级：我们按2010年、2011年电解铝价格分别为16000元/吨、17000元/吨,电解铝产量稳定在42万吨不变的假设下，预计公司相应每股收益为1.04元、1.10元，目标价格为28元。维持公司的“增持”投资评级。

投资风险：电解铝价格低于预期；煤价低于预期；公司与赵固能源生产计划的执行风险。

查看本报告全文PDF",1,1
20096,"山东黄金：依然值得长期关注
2009-08-18 类别：公司研究 机构：大通证券 研究员：赵彦辉
[摘要]
事件：

公司公布09年报点评：

09年，公司实现销售收入233.60亿元，同比增长17.55%；归属于母公司的净利润7.46亿元，同比增长17.08%；基本每股收益1.05元/股，同比提高16.67%。分配预案为每10股转5股送5股派1元，延续了公司一惯的高送配政策。

影响09年业绩的主要原因是黄金综合毛利的降低。具体影响因素主要有三个，一个是矿产金毛利率的降低，一个加大了合质金加工比例，另一个是管理费用的高企。

首先，这是公司的一个经营战略。这样做的目的是平滑利润，主要是在行业高景气大通证券研发中心公司点评请务必阅读免责条款-2-研究创造价值专业前瞻市场度之时矿石的入选品位低或合质金加工的比例增加或二者兼而有之。但这与管理费用高企无关。09年公司矿产金的克金成本为105元/克，远高于08年的90元/克，毛利率也由08年的53.79%下滑至51.30%，这说明矿石的入选品位在降低。而外购合质金加工也由08年的85吨左右提高到了90吨左右，外购合质金加工部分毛利仅有0.12%。

其次，管理费用高企。公司的管理费用率自09年第三季度以来上升至4%以上，而4季度又略有增加，而这在4季度销售收入大幅增加60%左右的基础上，管理费用的绝对值增加了1.4个亿，影响每股收益近0.2元。公司需加强管理，降低管理成本，大致判断是08年资产注入以来，公司的资源整合力度还不够。与08年末大幅计提管理费用后09今年1季度大幅降低相对照，且金价仍然维持高位，10年的1季报业绩有望大幅增长。

因此，我们认为公司整体上的经营是稳健的，管理还有需要加强之处。

公司的10年、11年看点。主要看看点有两个，一是明确的资产注入预期，09年收购了集团公司新立矿区和三山岛矿区两个探矿权，资产继续注入预期依然明确，公司现有资源储量260吨左右，预期储量可以翻番。二是焦家金矿6000吨选厂扩建项目和三山岛8000吨选厂的扩建项目将投产，一方面可以提高矿产金产量，另一方面，规模化的管理会降低公司的管理成本。公司10年计划投资总额来看，资本开支在上升，说明公司在进一步发展上下力度较大，发展速度或将加快。

金价中长期看好。外汇储备多元化与通胀预期使金价中长期看好（详见2010年度投资策略黄金部分）。黄金行业景气度相对依然较高，做为纯金生产公司，业绩对金价的敏感度较高，必将受益。

投资评级：我们假设2010年、2011年黄金价格230元/克及240元/克，公司矿产金产量18.5吨与22吨的假设，重新测算了公司相应的EPS为1.47元与1.93元，对应3月18日收盘价相应P/E为47.62、36.3，公司资产注入预期明确，且成长性良好，我们维持山东黄金“增持”的投资评级。

投资风险：金价降低；成本控制不力；生产计划的执行风险；资产注入的不确定性。
查看本报告全文PDF",1,1
20097,"冀东水泥：冀东水泥 盈利高速增长 估值偏低
2009-09-20 类别：公司研究 机构：联合证券 研究员：周焕
[摘要]
公司研究深度研究金属、非金属/水泥制造业上半年公司净利润同比增长98%，主要原因是陕西市场表现出色。但投资者担心陕西会否像其他西北地区一样，随着供给的大幅增长，未来盈利能力出现下滑。通过对公司主要销售市场供需关系的分析，我们认为2009—2010年陕西市场将保持高盈利水平，东北和华北市场也整体向好。

借助国家“4万亿”投资以及积极的财政政策和适度宽松的货币政策，陕西在09年进一步扩大固定资产投资规模。由于新开工项目大幅增长，预计未来三年固投将保持较大的规模和增速，从而拉动水泥需求持续旺盛。

虽然陕西在建水泥生产线较多，但淘汰落后力度很大，预计今明两年分别净增水泥产能500和1000万吨，今年供不应求，明年供需基本平衡。公司目前在陕西规模排第一，扩产及收购秦岭将进一步巩固龙头地位，预计今年吨净利在100元左右，明年也将维持在70元以上。

“保增长、促内需”拉动公司所在的华北和东北市场水泥销售价升量增，利润增速普遍超过全国水平。同时这些区域水泥行业投资增速相对较低，未来供给压力不大。

公司今明两年产能每年增长30％，到2010年底总产能接近6500万吨。

抑制产能过剩的政策将有效保障包括冀东在内的优势企业的盈利能力，预计今明两年公司销量分别为3000和4100万吨，EPS分别为0.79和0.98元。估值已低于行业整体，和沪深300指数的PE比值也处于历史较低水平。考虑到公司较高的成长性，目前估值明显偏低，维持“增持”评级。

经营预测与估值2008A2009H12009E2010E营业收入(百万元)4568.72519.46288.29026.7(+/-%)32.028.037.643.6归属母公司净利润(百万元)446.0305.5956.81187.8(+/-%)22.697.9114.524.2EPS(元)0.370.250.790.98P/E(倍)37.554.717.414.1股价2009/09/30上半年公司净利润同比增长98%，主要原因是陕西市场表现出色。但投资者担心陕西会否像其他西北地区一样，随着供给的大幅增长，未来盈利能力出现下滑。通过对公司主要销售市场供需关系的分析，我们认为2009—2010年陕西市场将保持高盈利水平，东北和华北市场也整体向好。

陕西：固投强劲增长，今明两年水泥行业保持高盈利新开工项目大增，固投高增长具备持续性借助国家“4万亿”投资以及积极的财政政策和适度宽松的货币政策，陕西在09年进一步扩大固定资产投资规模，掀起新一轮重大项目建设高潮。本年度共安排重点建设项目171项，总投资7429亿元，比08年增长116％，年度计划投资1449亿元，比08年增长73.7％。

09年重点建设项目总投资中，续建项目125个，合计4409亿元，同比增长54％，新开工项目46个，合计3019亿元，同比增长434％，其中基础设施新开工项目总投资1502亿元，比08年增长10.7倍！
查看本报告全文PDF",1,1
20098,"华微电子：华微电子
2009-09-26 类别：公司研究 机构：江南证券 研究员：薄小明 李皓
[摘要]
华微电子（600360）三季报点评TMT/电子元器件全年扭亏概率较大研究员薄小明李皓E_mail:clark1205@tom.com电话：0755－83689042报告日期2009.9.263个月目标价8元当前股价6.15元投资评级买入基础数据上证指数3056.86总股本（百万）522流通A股（百万股）410总市值（百万）3,218每股净资产（元）2.82ROE（TTM）-2.09资产负债率41.59动态市盈率-105.01动态市净率2.19近一年股价表现华微电子上证指数相关报告1.华微电子半年报点评—业绩拐点已现，看好新型功率器件对未来销售的拉动作用（20090901）2.电子元器件四季度策略报告—围绕复苏主线选择股票（20091013）重要事件：

本日华微电子公布09年半年度报告。根据报告显示，公司前三季度实现营业收入8.17亿元，同比下降21.06%。实现净利润-1197万元，其中归属于母公司净利润-1239万元。对应每股收益-0.02元。

事件评论：

三季度营业收入略低预期但已在盈亏点之上公司3Q实现营业收入2.81亿元，同比下降约40.67%，环比亦下降约17.5%。同比数据出现较大降幅是由于对比基数过大所致，公司08年3Q实现营收4.74亿元为历史最高单季收入，因此导致公司本季度同比数据较为难看。而从环比数据来看，09年3Q营收虽略低于我们预计的3亿的单季水平，但是考虑到下游行业回补库存是对2Q营收拉动较大的因素，因此在3Q略有下降尚可以接受。从盈利水平来看，公司3Q扣除非营业外收入且无投资收益等因素干扰的情况下实现营业利润1425万元，已经站在盈亏点之上。考虑到4Q对于下游众多行业来说将会迎来销售旺季，预计公司借此契机4Q单季实现3亿以上的销售收入把握较大。

单季毛利率继续回升，盈利能力恢复至正常水平公司3Q单季毛利率为23.77%较2Q提升约10%，大大超出我们的预期。我们认为其主要原因有以下几点：（1）新产品上量带来盈利能力提升的效应明显。（2）市场上电子器件产品价格继续恢复为行业带来的景气复苏。（3）公司去库存化阶段的趋于完结使得成本相对较低的产品出货量开始增长。基于对器件行业整体运行趋势的最新判断，我们认为4Q毛利率水平能维持20%水平，并将公司全年毛利率预期由14%修订至17%左右，本年度实现扭亏为盈几为定局。

未来看点依旧在MOSFET的量产公司未来看点依旧在于mosfet产线的规模化量产。根据资料显示公司6寸线项目已于去年11月通线试产，而未来该类型产品进一步上量之后对公司的盈利能力将会有更大的帮助。在如今倡导节能理念的大背景下，mosfet所具备的低功耗特性及开关速度较快等优点使其广泛应用于各类电子产品之中，并且在许多领域有逐渐替代双极型器件的趋势。而国内该类产品大多需要进口，因此对于这一类符合进口替代需求的产品未来的盈利能力较为有保证，也是公司未来成长性的体现之一。公司还具备固定营运成本较低的特点也使得其相对于其他厂商具有一定比较优势，因此对于公司今后几年的发展前景我们维持乐观态度。

投资建议：

根据预测，公司09-11年EPS分别为0.05、0.34、0.43元。本年度扭亏的情况下明年业绩出现较大增长的可能性较大，因此我们给予买入评级。

经营预测与估值2008A2009E2010E2011E营业收入(百万元)1087117414671761(+/-%)-5.582520归属母公司净利润(百万元)5615178226(+/-%)-65-27108727EPS(元)0.110.050.340.4340P/E(倍)1301814资料来源：江南金融研究所三季报点评请务必阅读正文之后的免责声明部分1附：财务预测表资产负债表单位:百万元利润表单位:百万元会计年度20082009E2010E2011E会计年度20082009E2010E2011E流动资产1307166219772450营业收入1087117414671761现金373600787973营业成本77897510601280应收账款307399464578营业税金及附加67911其他应收款59115132149营业费用31293744预付账款608487107管理费用116117117132存货474427462589财务费用52383429其他流动资产34374655资产减值损失36101010非流动资产1404132212361150公允价值变动收益-1000长期投资10599102100投资净收益2171011固定资产775879969874营业利润6814210266无形资产109130147166营业外收入51766其他非流动资产4152141810营业外支出1000资产总计2711298432133600利润总额7331216272流动负债1052126712741394所得税1663241短期借款548617600600净利润5725183231
查看本报告全文PDF",1,1
20099,"中国太保：中国太保 追求边际利润率 着力产品结构调整
2009-09-28 类别：公司研究 机构：上海证券 研究员：郭敏
[摘要]
报告背景：

近期对公司进行调研，和公司高管就准备金计提、产品发展战略、不同产品利润率等问题进行了广泛的交流。

主要观点：

上半年产品结构成功转型，准备金的计提实际上反映了公司的产品结构公司上半年的准备金计提216.26亿元，较去年同期有所下降，相对于其他寿险公司来看，公司的准备金计提较小。公司高管表示，准备金计提在不同公司的可比性较差，除非不同公司卖的是完全相同的产品。由于各个公司卖的产品结构不一样，准备金的计提也有很大的差别。中国太保与中国平安和中国人寿的产品结构差异较大，有效保单有所区别。公司上半年累计保费规模有所下降，主要体现在调高了保障型业务，降低非保障型业务，使准备金结构有较大的优化。具体公司从累计的有效准备金来说，其中，接近90%是保障型，少于15%是万能性，少于1/4是往年高利率保单，准备金结构大致反映了公司目前产品结构。同时，准备金计提也受到投资收益的影响，万能险中70%的投资收益是需要分配到准备金中的。因此，理解了产品结构的差异，准备金计提的差异也是比较好理解的。

我们认为，就公司上半年业务结构的转型来看，是非常成功的。产品结构中已完全没有投连险险种，公司准备金计提减少也反映出公司产品结构的变化。

国内和国外万能险的利润率有所区别，而保障型险种的利润率明显大于万能险国外的万能型的利润率是高于分红险的，公司对万能险的侧重较少的原因有哪些。首先，国内和国外的环境是有所区别的，国外人均保单为6-7份，在国内城市的人均保单为2.5份，而在农村这一比例更小。

因此，国内国外对保单需求有很大差异。在国外万能险的需求较大，而在国内大部分是首份保单，因此，对保障型保单的需求更大。

再次，从盈利能力上，国内外的产品是有区别的。国外保障型保险没有2.5%既定利率的限制，而在国内目前是2.5%的限定利率，肯定是传统型的利差更大。

第三，在不同的经济发展周期下，产品的边际利润率也有所差别。目前，正处于低利率的环境，分红险的边际利润率大于万能险的利润率。

而在未来高利率的环境下，万能险的利润率将大于分红险边际利润率。我们公司的目标是力推对公司边际利润率较高的产品，因此，在这个阶段，公司更偏重于发展分红险产品。

公司偏重于长期资产配置，更强调负债的匹配公司对不同险种产品的特点，其投资策略和资产配置也倾向于不同。

公司的投资策略倾向于长期资产配置，对资产中长期收益率进行预测，以匹配长期负债结构，对每季投资收益做一个修正。根据保监会的统计口径，完全没有投连险的公司，权益占比约少2%。

不同的产品结构的利润率和三差收益有所不同对于长期10年以上分红型保险，边际利润率达40%（新业务价值），3年的短缴银保产品，边际利润率仅1%（新业务价值）。传统保险产品的利差最高，万能险种的利差最低。死差主要看销售人群而有所不同。费差可关注单位费用预计比，但仅仅用“（费用+佣金）/保费收入”不能体现费用率的大小。一般来说，长期保障型、续期、个险渠道保险的费率较小，费差也最大。

投资建议：

未来六个月内，“跑赢大市”；公司上半年产品结构转型成功，大力发展了保障型和分红型产品。公司标准保费同时增长20%。在09年成功发行10亿股H股的假设下，给予公司25-30倍新业务价值乘数，公司的目标价格在23.3-28.1元之间，给予公司“跑赢大市”评级。

数据预测与估值：

至12月31日（￥.百万元）2007A2008A2009E2010E营业收入93,00897,835143.7227.92年增长率（%）61.675.206.3510.16归属于母公司的净利润6,8391,3395,8296,612年增长率（%）583.83-80.5715.1013.14每股收益（元）0.790.150.670.76PER（X）27.94143.8532.8929.07
查看本报告全文PDF",0,1
200910,"中国联通：中国联通 联通红筹回购SK电讯所持股份 注销回购股份提升股东价值
2009-09-28 类别：公司研究 机构：爱建证券 研究员：万阳松
[摘要]
本报告导读：联通红筹回购SK电讯所持股份，回购股份将被注销联通A持有联通红筹股权比例将上升至33.88%投资要点：

事件：周末联通发布公告称，SK电讯拟向联通红筹出售其所持有的全部联通红筹股份，合计899,745,075股，每股出售价格为11.105港元，金额合计约100亿港元。

现金支付收购对价，注销回购股份提升股东价值。公司25日收到SK电讯作出的有条件不可撤回要约，SK电讯拟将其持有的联通红筹公司的所有股份出售给联通红筹公司，该等股份占联通红筹公司于本公告日期大约3.79%的已发行股本，而联通红筹公司将通过场外股份回购的方式回购这些股份。

按照每股11.105港元计算，总收购对价约合100亿港元。本次收购对价将以现金方式支付。最终回购价由联通红筹公司和SK电讯经公平商业谈判，在考虑一段时期内股份价格的波动及现行市价后确定。公司管理层表示，对本公司发展充满信心，本次股份回购有助于提升股东价值。

SK电讯退出联通红筹属正常选择。（1）2006年6月，韩国主要运营CDMA网络的SK电讯与联通红筹签订了《战略联盟框架协议》，SKT获得后者价值10亿美元的可换股债券。SK电讯已于2007年8月20日向联通红筹公司发出转换通知，转股后SK电讯所持联通红筹为89974.5万股，占当时总股本的6.61%。电信重组后其股权被稀释至4%以下。（2）电信重组前，联通和SK电讯主要围绕CDMA业务展开合作。而电信重组后，联通获得WCDMA牌照，两者在业务领域的合作空间有限。（3）9月6日，联通发布公告称，联通红筹公司和全球WCDMA网络运营商西班牙电信签订战略联盟协议，并相互投资10亿美元，进行深度合作。本次交易前，西班牙电信持有联通红筹股权升至8.06%。SK电讯对联通红筹的影响进一步弱化。

对联通A股的影响。本次交易前（考虑西班牙电信增持联通红筹股权后），联通A持有联通红筹股权比例为32.64%。而本次交易后，联通红筹总股本将由244.62亿股减少至235.62亿股，联通A持有联通红筹股权比例将升至33.88%，上升1.24个百分点（升幅为3.8%）。联通红筹近9亿股份的回购注销，将有助于提升原有股东的价值，因此联通A股股东同样受益。

联通A股投资建议。目前联通A股股价对应的09年动态PE约27.5倍左右，估值处于相对合理区间，主要是因为3G业务实际推广前景仍具有不确定性对公司估值形成一定压力。我们认为，对于中长期投资者，目前是合理的介入时机，具有较好的安全边际。

维持前期观点，短期看我们仍认为联通A股具有事件驱动的波段交易机会，交易区间6元-7.5元之间。短期买卖时机选择可参考联通A股和联通红筹的溢价率水平。从联通A股和联通红筹的溢价率水平看，目前溢价率水平为62%，低于08年5月重组以来溢价率均值68%的水平（标准差为25%）。

股价表现的驱动因素。未来一段时间，公司股价表现的驱动因素主要来自：

（1）预计10月1日联通3G正式商用，在全国285个城市和地区同步推广基于WCDMA网络的3G服务；（2）联通引进iPhone的细节出台，以及iPhone智能终端将于10月中旬上市销售，将吸引高ARPU值用户加入W网。

查看本报告全文PDF",0,1
